Name,Street_Address,Location,Type,Reviews,No of Reviews,Comments,Contact_Number,Restaurant_url,Menu,Image_url
Boucherie Union Square,225 Park Ave S,"New York City, NY 10003-1604"," French, Steakhouse, Gluten Free Options",4.5,995,"The service was fast and the food was delicious.As for drink I prefer cocktail, anybody who loves to drink cocktails, I would recommend you to try Japonica.",+1 212-353-0200,https://www.tripadvisor.com/Restaurant_Review-g60763-d13504265-Reviews-Boucherie_Union_Square-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/2b/b8/inside.jpg?w=900&h=500&s=1
Perry St,176 Perry St,"New York City, NY 10014-2384"," Contemporary, Vegetarian Friendly, Gluten Free Options",4.5,367,"Upscale restaurant in an unexpected location. Great value with the restaurant week menu. Everything was very tasty, maybe just a bit too salty. We had the tuna tartar to start and the duck as a main. ",+1 212-352-1900,https://www.tripadvisor.com/Restaurant_Review-g60763-d590536-Reviews-Perry_St-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/55/9d/46/perry-street.jpg?w=900&h=500&s=1
San Carlo Osteria Piemonte,90 Thompson St,"New York City, NY 10012-3744"," Italian, Mediterranean, Vegetarian Friendly",4.5,695,Was greatly pleased by this discovery in Soho. The staff is great and the food more than incredible plus a good selection of wine makes this a pleasant place to eat.,+1 212-625-1212,https://www.tripadvisor.com/Restaurant_Review-g60763-d10032108-Reviews-San_Carlo_Osteria_Piemonte-New_York_City_New_York.html,http://www.sancarlonyc.com/menu/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/fa/8e/10/halibut.jpg?w=900&h=500&s=1
Ora Di Pasta,1 W 59 Th Street,"New York City, NY 10019"," Italian, Mediterranean, Vegetarian Friendly",4.5,235,Decent pasta in a good area of NYC. Very cool restaurant area in the food hall of the Home Alone Plaza Hotel!,+1 646-755-3013,https://www.tripadvisor.com/Restaurant_Review-g60763-d8144717-Reviews-Ora_Di_Pasta-New_York_City_New_York.html,http://demo.wpcharming.com/chicago/#menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/94/00/49/ora-di-pasta.jpg?w=900&h=500&s=1
Russ & Daughters Cafe,127 Orchard St,"New York City, NY 10002-3103"," American, Cafe, Deli",4.5,671,"This deli is perfect for an interesting selection of comfort food, great service and ambiance that makes you feel right at home. And I'm Irish.",+1 212-475-4881,https://www.tripadvisor.com/Restaurant_Review-g60763-d7387632-Reviews-Russ_Daughters_Cafe-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/3a/de/ad/photo1jpg.jpg?w=900&h=500&s=1
Ora Di Pasta,1 W 59 Th Street,"New York City, NY 10019"," Italian, Mediterranean, Vegetarian Friendly",4.5,235,Decent pasta in a good area of NYC. Very cool restaurant area in the food hall of the Home Alone Plaza Hotel!,+1 646-755-3013,https://www.tripadvisor.com/Restaurant_Review-g60763-d8144717-Reviews-Ora_Di_Pasta-New_York_City_New_York.html,http://demo.wpcharming.com/chicago/#menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/94/00/49/ora-di-pasta.jpg?w=1200&h=-1&s=1
San Matteo Pizza Espresso Bar,1739 2nd Ave,"New York City, NY 10128-3502"," Italian, Pizza, Vegetarian Friendly",4.5,370,I love San Matteo. We've eaten there maybe 4 times now and taken friends. The thin crust Italian based pizza reminds us of Franco Manca (for the Brits reading this). Delicious and slightly charcoalled in places.,+1 212-426-6943,https://www.tripadvisor.com/Restaurant_Review-g60763-d2256319-Reviews-San_Matteo_Pizza_Espresso_Bar-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/16/50/43/pizza-margherita-and.jpg?w=900&h=500&s=1
Loi Estiatorio,132 W 58th St,"New York City, NY 10019-2135"," Mediterranean, Greek, Seafood",4.5,535,"It looked promising, the chef came up to our table, but sadly enough the food wasn't any good. It was bland (we had the lasagna and the mussels) and the lasagna was very dry. There was no sauce in the lasagna at all. ",+1 212-713-0015,https://www.tripadvisor.com/Restaurant_Review-g60763-d7814915-Reviews-Loi_Estiatorio-New_York_City_New_York.html,http://www.loiestiatorio.com/dinner/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/e5/8a/20/photo0jpg.jpg?w=900&h=500&s=1
Jungsik,2 Harrison St,"New York City, NY 10013-2810"," Asian, Korean, Gluten Free Options",4.5,272,"Instead of going for the full tasting menu we came here to enjoy their dessert only tasting menu. Understandably, this is served in the bar rather than in the main dining area. ",+1 212-219-0900,https://www.tripadvisor.com/Restaurant_Review-g60763-d2345886-Reviews-Jungsik-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/a9/1a/6e/jungsik.jpg?w=900&h=500&s=1
Daniel,60 East 65th Street,"New York City, NY 10065-7056"," French, Vegetarian Friendly, Vegan Options",4.5,3274,"Wonderful restaurant, pleasant. The menu at DANIEL is a French culinary heritage. The food  is amazing.",212 288 0033,https://www.tripadvisor.com/Restaurant_Review-g60763-d457808-Reviews-Daniel-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/a9/1d/78/daniel.jpg?w=900&h=500&s=1
Whiskey Tavern,79 Baxter St,"New York City, NY 10013-4462"," American, Bar, Pub",4.5,173,"Awesome little pub hidden away in Chinatown. Great service, busy place with bustling atmosphere. Had a lot of fun and left stuffed!",+1 212-374-9119,https://www.tripadvisor.com/Restaurant_Review-g60763-d2212145-Reviews-Whiskey_Tavern-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/66/47/9e/photo0jpg.jpg?w=900&h=500&s=1
The Modern,9 W 53rd St,"New York City, NY 10019-5401"," Contemporary, American, Vegetarian Friendly",4.5,2071,Kind of embarrassing that a 2 Michelin star chef gave someone with a gluten allergy breadcrumbs.. The first waiter assured me it was gluten free. After I had already eaten some a different waiter took it away and brought me the gluten free version.,+1 212-333-1220,https://www.tripadvisor.com/Restaurant_Review-g60763-d549201-Reviews-The_Modern-New_York_City_New_York.html,http://www.themodernnyc.com/menus/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ea/7b/04/the-modern.jpg?w=900&h=500&s=1
Piccola Cucina Osteria,196 Spring St,"New York City, NY 10012-3621"," Italian, Mediterranean, Neapolitan",4.5,2617,"Both the service and food has improved considerably since I last visited Piccola Cucina Osteria in June 2019. The wait staff was friendly, attentive, and helpful, and the food fresh and delicious. ",+1 646-478-7488,https://www.tripadvisor.com/Restaurant_Review-g60763-d4363835-Reviews-Piccola_Cucina_Osteria-New_York_City_New_York.html,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Osteria-2018-compressed.pdf,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/5e/1c/e4/piccola-cucina-osteria.jpg?w=900&h=500&s=1
Calle Dao Chelsea,461 W 23 Street,"New York City, NY 10011"," Chinese, Cuban, Latin",4.5,27,"This is the first time I’ve visited the Chelsea location. Compared to the Bryant park location this one is more spacious and less crowded. The location is a bit hidden. The food is great, a but pricey but the staff is courteous and attentive.",+1 212-414-4104,https://www.tripadvisor.com/Restaurant_Review-g60763-d12858974-Reviews-Calle_Dao_Chelsea-New_York_City_New_York.html,https://www.calledao.com/chelsea/menu/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8a/81/52/brunch-time.jpg?w=900&h=500&s=1
Club A Steakhouse,240 E 58th Street,"New York City, NY 10022-2001"," American, Steakhouse, Gluten Free Options",4.5,3978,Excellent filet mignon& beautiful ambiance. The service was great and dessert was a delicious. I would definitely return.,+1 212-688-4190,https://www.tripadvisor.com/Restaurant_Review-g60763-d1236281-Reviews-Club_A_Steakhouse-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/d3/02/cc/photo2jpg.jpg?w=900&h=500&s=1
Spice Symphony,150 E 50th St,"New York City, NY 10022-9500"," Indian, Vegetarian Friendly, Vegan Options",4.5,2580,"Great food and service! We had a mix of Indian and Chinese dishes, and everything came out perfect. Our waiter - Nisar - was wonderful.",+1 212-300-4869,https://www.tripadvisor.com/Restaurant_Review-g60763-d3603515-Reviews-Spice_Symphony-New_York_City_New_York.html,http://www.spicesymphony.com/50th-street/spice-symphony-dinner-menu.pdf,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/4b/4a/80/spice-symphony.jpg?w=700&h=400&s=1
Obao,647 9th Ave,"New York City, NY 10036-3661"," Asian, Thai, Vietnamese",4.5,1049,"Food volume is relatively small, the spring rolls were not crispy, the pho was not tender as well. Consider the location and the price, it's an Okay place to go if you have no better choice.",+1 212-245-8880,https://www.tripadvisor.com/Restaurant_Review-g60763-d5937621-Reviews-Obao-New_York_City_New_York.html,http://www.obaony.com/new-menu-hells-kitchen-2019,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/b4/02/3d/bun-vermicelli-noodles.jpg?w=900&h=500&s=1
Boucherie West Village,99 7th Ave S,"New York City, NY 10014-3415"," French, Steakhouse, Vegetarian Friendly",4.5,1085,Wonderful Sunday Brunch. The Food was delicious and great service. Great atmosphere with French flair.,+1 212-837-1616,https://www.tripadvisor.com/Restaurant_Review-g60763-d11918545-Reviews-Boucherie_West_Village-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/4b/bd/55/ground-floor.jpg?w=1200&h=-1&s=1
John's of Bleecker Street,278 Bleecker St,"New York City, NY 10014-4105"," Italian, Pizza, Vegetarian Friendly",4.5,1766,"Solid pizza place. If you can find a time to dine at John's of Bleecker Street when there isn't much of a line, you're in for a treat. The pizzas here have a solid base and you add your own toppings (optional). ",+1 212-243-1680,https://www.tripadvisor.com/Restaurant_Review-g60763-d492818-Reviews-John_s_of_Bleecker_Street-New_York_City_New_York.html,https://slicelife.com/restaurants/ny/new-york/10014/john-s-of-bleecker-street/menu?utm_source=organic_tripadvisor&utm_medium=ta_menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/fc/69/49/img-20200220-122031-largejpg.jpg?w=900&h=-1&s=1
Blue Ribbon Sushi,119 Sullivan St,"New York City, NY 10012-3680"," Japanese, Sushi, Asian",4.5,1018,The sushi was absolutely amazing.  Pro tip...you cannot make reservations over the phone so you have to walk in.  It is totally worth the wait.  I recommend that you plan for drinks near by once you put your name on the list.,+1 212-343-0404,https://www.tripadvisor.com/Restaurant_Review-g60763-d457772-Reviews-Blue_Ribbon_Sushi-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/ed/31/0b/sushi.jpg?w=900&h=500&s=1
Broadway Bagel,2658 Broadway,"New York City, NY 10025-5023"," American, Cafe, Vegetarian Friendly",4.5,230,Very delicious egg & cheese bagel at a very good price. Also try the brownie. It’s worth it for sure :),+1 212-662-0231,https://www.tripadvisor.com/Restaurant_Review-g60763-d3948791-Reviews-Broadway_Bagel-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/10/25/8b/photo3jpg.jpg?w=900&h=500&s=1
Community Food & Juice,2893 Broadway,"New York City, NY 10025-7820"," American, Healthy, Vegetarian Friendly",4,281,"Most of what this restaurant has going for it is its great location on Broadway near the University, and it’s comfortable and stylish dining room. Beyond that... I’d recommend giving it a miss. The food is fine, the service is quick and friendly.",+1 212-665-2800,https://www.tripadvisor.com/Restaurant_Review-g60763-d813648-Reviews-Community_Food_Juice-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/65/98/3d/photo5jpg.jpg?w=1200&h=-1&s=1
Scalini Fedeli,165 Duane St,"New York City, NY 10013-3332"," Italian, Vegetarian Friendly, Vegan Options",4.5,427,A quaint romantic restaurant with a excellent food. They bring you things to eat in between courses. Staff is great. Everything we ate was delicious. Great for couples and special occasions.  Will definitely be back.,+1 212-528-0400,https://www.tripadvisor.com/Restaurant_Review-g60763-d424246-Reviews-Scalini_Fedeli-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/bb/65/cf/scalini-fedeli-main-dinning.jpg?w=900&h=-1&s=1
Piccola Cucina Estiatorio,75 Thompson St,"New York City, NY 10012-4345"," Italian, Seafood, Mediterranean",4.5,166,"Everything is good. The food, the ambiance, the service and the location. The burrata and the octopus are specially good.",+1 646-781-9183,https://www.tripadvisor.com/Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York.html,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Estiatorio-2018-compressed.pdf,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/9f/fd/63/piccola-cucina-estiatorio.jpg?w=900&h=500&s=1
Amish Market East,240 E 45th St,"New York City, NY 10017-3302"," Deli, Vegetarian Friendly, Vegan Options",4.5,243,"If you want great quality food in the center this is a good place. It has a dairy and food staples selection, gray cakes, breads, fruit and even hot meals. For food to go highly recommended. Loved the Red Velvet cake and the Cheesecake Brownie!",+1 212-370-1761,https://www.tripadvisor.com/Restaurant_Review-g60763-d424278-Reviews-Amish_Market_East-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/ae/5c/ba/caption.jpg?w=900&h=500&s=1
Naruto Ramen,1596 3rd Ave,"New York City, NY 10128-3417"," Japanese, Asian, Soups",4.5,190,"Good service, satisfying food. Space is cramped, but they serve good value for money. It’s amusing to watch the chefs preparing the meals too. Not the best choice if you’re coming as a big group—it’ll be hard to converse with each other.",+1 212-289-7803,https://www.tripadvisor.com/Restaurant_Review-g60763-d938985-Reviews-Naruto_Ramen-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b8/e6/9a/photo0jpg.jpg?w=900&h=500&s=1
Piccola Cucina Estiatorio,75 Thompson St,"New York City, NY 10012-4345"," Italian, Seafood, Mediterranean",4.5,166,"Everything is good. The food, the ambiance, the service and the location. The burrata and the octopus are specially good.",+1 646-781-9183,https://www.tripadvisor.com/Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York.html,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Estiatorio-2018-compressed.pdf,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/9f/fd/63/piccola-cucina-estiatorio.jpg?w=900&h=500&s=1
San Carlo Osteria Piemonte,90 Thompson St,"New York City, NY 10012-3744"," Italian, Mediterranean, Vegetarian Friendly",4.5,695,Was greatly pleased by this discovery in Soho. The staff is great and the food more than incredible plus a good selection of wine makes this a pleasant place to eat.,+1 212-625-1212,https://www.tripadvisor.com/Restaurant_Review-g60763-d10032108-Reviews-San_Carlo_Osteria_Piemonte-New_York_City_New_York.html,http://www.sancarlonyc.com/menu/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/fa/8e/10/halibut.jpg?w=900&h=500&s=1
Metro Diner,2641 Broadway Frnt 1,"New York City, NY 10025-5043"," American, Diner, Vegetarian Friendly",4,476,This is our must-go-place each single time we are staying in the city. Breakfasts are awesome. Last time we were served by Dimitra who was so nice and helpful. We will definitely return next time we are in NY.,+1 212-866-0800,https://www.tripadvisor.com/Restaurant_Review-g60763-d458252-Reviews-Metro_Diner-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/44/74/8d/metro-diner.jpg?w=900&h=500&s=1
Spice Symphony,150 E 50th St,"New York City, NY 10022-9500"," Indian, Vegetarian Friendly, Vegan Options",4.5,2580,"Great food and service! We had a mix of Indian and Chinese dishes, and everything came out perfect. Our waiter - Nisar - was wonderful.",+1 212-300-4869,https://www.tripadvisor.com/Restaurant_Review-g60763-d3603515-Reviews-Spice_Symphony-New_York_City_New_York.html,http://www.spicesymphony.com/50th-street/spice-symphony-dinner-menu.pdf,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/4b/4a/80/spice-symphony.jpg?w=700&h=400&s=1
Loring Place,21 W 8th St,"New York City, NY 10011-9032"," American, Vegetarian Friendly, Vegan Options",4.5,149,I’m a tough sell and even though we waited 30 min past our reservation time it was well worth the wait. They even had 2 appetizers at the table when we finally sat. ,+1 212-388-1831,https://www.tripadvisor.com/Restaurant_Review-g60763-d12321742-Reviews-Loring_Place-New_York_City_New_York.html,http://www.loringplacenyc.com/menus/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/83/0a/1b/inside.jpg?w=800&h=500&s=1
Buenos Aires,513 E 6th St,"New York City, NY 10009-6621"," Steakhouse, Latin, Argentinean",4.5,424,"In a city with thousands of places to eat, few are worth the trouble and cost of eating out. Even in NYC, having a great dining experience is not obvious.  Buenos Aires delivers on all expectations- every time.",+1 212-228-2775,https://www.tripadvisor.com/Restaurant_Review-g60763-d901589-Reviews-Buenos_Aires-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/28/f2/f3/the-best-argentinean.jpg?w=900&h=500&s=1
Sea Fire Grill,158 E 48th St,"New York City, NY 10017-1224"," American, Seafood, Vegetarian Friendly",4.5,1088,My husband brought me here for my birthday.  What an amazing place. The ambiance and decor was outstanding. Our server Benson provided us with exemplary service. He was attentive and made us feel very special.  This restaurant is by far the best restaurant I've been.,+1 212-935-3785,https://www.tripadvisor.com/Restaurant_Review-g60763-d3731386-Reviews-Sea_Fire_Grill-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/df/35/82/red-snapper.jpg?w=900&h=500&s=1
Flex Mussels,174 E 82nd St,"New York City, NY 10028-1839"," Seafood, Gluten Free Options",4.5,339,"Get the Thai mussels, you will not be disappointed, had clam strips as an appetizer and they came out phenomenal with an excellent house tartar sauce. Had with “the one with tequila in it” for drink and was perfect citrus/spicy accent to the whole meal.",+1 212-717-7772,https://www.tripadvisor.com/Restaurant_Review-g60763-d1238523-Reviews-Flex_Mussels-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/32/46/52/the-one-with-the-spritz.jpg?w=500&h=-1&s=1
Cull & Pistol,75 9th Ave,"New York City, NY 10011-7006"," American, Seafood, Gluten Free Options",4.5,965,"Sat at the bar- was good fun.

Amazing oysters- had the platter for half dozen: was amazing.

The dumplings next but  was average. 

Had the US blanc de Blanc- was average.

Service was good.",+1 646-568-1223,https://www.tripadvisor.com/Restaurant_Review-g60763-d4225718-Reviews-Cull_Pistol-New_York_City_New_York.html,https://www.cullandpistol.com/menus/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/e4/f8/80/cull-pistol-feast.jpg?w=900&h=500&s=1
Dinosaur Bar-B-Que,700 W 125th St,"New York City, NY 10027-2314"," American, Bar, Barbecue",4.5,1197,"If you love old school BBQ ribs, this is the best place in the city.  It's always delicious.  The food is so good that the place is always full. You'll need a reservation or go early in the day. It's great for large groups.",+1 212-694-1777,https://www.tripadvisor.com/Restaurant_Review-g60763-d620401-Reviews-Dinosaur_Bar_B_Que-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/cb/b3/55/dinosaur-bar-b-que.jpg?w=1100&h=-1&s=1
Piccola Cucina Estiatorio,75 Thompson St,"New York City, NY 10012-4345"," Italian, Seafood, Mediterranean",4.5,166,"Everything is good. The food, the ambiance, the service and the location. The burrata and the octopus are specially good.",+1 646-781-9183,https://www.tripadvisor.com/Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York.html,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Estiatorio-2018-compressed.pdf,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/9f/fd/63/piccola-cucina-estiatorio.jpg?w=900&h=500&s=1
Pisticci,125 La Salle St,"New York City, NY 10027-4651"," Italian, Vegetarian Friendly, Vegan Options",4.5,267,This is based on one Friday supper visit. Pisticci is a linen tablecloth sort of place a half block from Broadway close to the Manhattan School of Music. It's bigger than it looks from the sidewalk. ,+1 212-932-3500,https://www.tripadvisor.com/Restaurant_Review-g60763-d458172-Reviews-Pisticci-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/c0/f4/b8/pisticci-restaurant.jpg?w=800&h=-1&s=1
L'Artusi,228 W 10th St,"New York City, NY 10014-6405"," Italian, European, Vegetarian Friendly",4.5,516,This restaurant was my husband's favorite and he can be fussy!  We ordered 4 pasta dishes to share (there were 4 of us) and we loved them all!   Our waitress also recommended a reasonably priced bottle of wine.,+1 212-255-5757,https://www.tripadvisor.com/Restaurant_Review-g60763-d1368175-Reviews-L_Artusi-New_York_City_New_York.html,http://lartusi.com/menu/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/54/4c/03/photo3jpg.jpg?w=900&h=500&s=1
Piccola Cucina Osteria,196 Spring St,"New York City, NY 10012-3621"," Italian, Mediterranean, Neapolitan",4.5,2617,"Both the service and food has improved considerably since I last visited Piccola Cucina Osteria in June 2019. The wait staff was friendly, attentive, and helpful, and the food fresh and delicious. ",+1 646-478-7488,https://www.tripadvisor.com/Restaurant_Review-g60763-d4363835-Reviews-Piccola_Cucina_Osteria-New_York_City_New_York.html,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Osteria-2018-compressed.pdf,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/5e/1c/e4/piccola-cucina-osteria.jpg?w=1100&h=-1&s=1
The Modern,9 W 53rd St,"New York City, NY 10019-5401"," Contemporary, American, Vegetarian Friendly",4.5,2071,Kind of embarrassing that a 2 Michelin star chef gave someone with a gluten allergy breadcrumbs.. The first waiter assured me it was gluten free. After I had already eaten some a different waiter took it away and brought me the gluten free version.,+1 212-333-1220,https://www.tripadvisor.com/Restaurant_Review-g60763-d549201-Reviews-The_Modern-New_York_City_New_York.html,http://www.themodernnyc.com/menus/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ea/7b/04/the-modern.jpg?w=900&h=500&s=1
Jacob Restaurant Soul Food & Salad Bar,2695 Frederick Douglass Blvd,"New York City, NY 10030-1206"," American, Vegan Options, Vegetarian Friendly",4.5,185,"To whom it may concern,

 This was the first time I purchased  a meal from Jacobs on 129 & Lennox Avenue NYC location and was completely suprised the meal was totally under par for Jacobs😟 The Lima beans were not fully cooked and the smoked.",+1 212-283-3663,https://www.tripadvisor.com/Restaurant_Review-g60763-d3631325-Reviews-Jacob_Restaurant_Soul_Food_Salad_Bar-New_York_City_New_York.html,http://www.jacobrestaurant.com/pdf/jacob-restaurant-menu.pdf,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/70/67/d7/photo0jpg.jpg?w=900&h=500&s=1
San Matteo Pizza Espresso Bar,1739 2nd Ave,"New York City, NY 10128-3502"," Italian, Pizza, Vegetarian Friendly",4.5,370,"I love San Matteo. We've eaten there maybe 4 times now and taken friends. The thin crust Italian based pizza reminds us of Franco Manca (for the Brits reading this). Delicious and slightly charcoalled in places.
The ravioli with vodka sauce is a must try.",+1 212-426-6943,https://www.tripadvisor.com/Restaurant_Review-g60763-d2256319-Reviews-San_Matteo_Pizza_Espresso_Bar-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/16/50/43/pizza-margherita-and.jpg?w=900&h=500&s=1
SottoCasa Pizzeria,227 Lenox Ave,"New York City, NY 10027-6542"," Pizza, Neapolitan, Campania",4.5,406,"This is my second time here. I didn’t think it could get better but it did:) first time I ate pizza with blue cheese, which usually takes over all other tastes. In this case however, it was PERFECTION. ",+1 646-928-4870,https://www.tripadvisor.com/Restaurant_Review-g60763-d10165896-Reviews-SottoCasa_Pizzeria-New_York_City_New_York.html,https://sottocasanyc.com/harlem/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/31/60/5f/photo0jpg.jpg?w=900&h=500&s=1
Le Bernardin,155 W 51st St,"New York City, NY 10019-6019"," French, Vegetarian Friendly, Gluten Free Options",4.5,3444,"Had the Valentine’s tasting menu and the overall experience was amazing but not flawless.

Made reservation at 2:00. Got there ~1:55 and we have to stand awkwardly for ~20 min in a tiny space next to a bar watching other guests eating in the bar.",+1 212-554-1515,https://www.tripadvisor.com/Restaurant_Review-g60763-d424434-Reviews-Le_Bernardin-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/ef/31/8a/photo4jpg.jpg?w=600&h=-1&s=1
Daniel,60 East 65th Street,"New York City, NY 10065-7056"," French, Vegetarian Friendly, Vegan Options",4.5,3274,"Wonderful restaurant, pleasant. The menu at DANIEL is a French culinary heritage. The food  is amazing.",212 288 0033,https://www.tripadvisor.com/Restaurant_Review-g60763-d457808-Reviews-Daniel-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/a9/1d/78/daniel.jpg?w=900&h=500&s=1
Club A Steakhouse,240 E 58th Street,"New York City, NY 10022-2001"," American, Steakhouse, Gluten Free Options",4.5,3978,Excellent filet mignon& beautiful ambiance. The service was great and dessert was a delicious. I would definitely return.,+1 212-688-4190,https://www.tripadvisor.com/Restaurant_Review-g60763-d1236281-Reviews-Club_A_Steakhouse-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/d3/02/cc/photo2jpg.jpg?w=1200&h=-1&s=1
Kuu Ramen,20 John St,"New York City, NY 10038-4038"," Japanese, Soups, Asian",4.5,161,"Raw pork dumplings 
Ok ramen 
Large portion 
TripAdvisor should take down the reviews
It is misleading and undermines the ratings list",+1 212-571-7177,https://www.tripadvisor.com/Restaurant_Review-g60763-d7890999-Reviews-Kuu_Ramen-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f9/0a/9c/kuu-chili-chicken-and.jpg?w=900&h=500&s=1
Manhatta,28 Liberty St,"New York City, NY 10005-1400"," American, Vegetarian Friendly, Gluten Free Options",4.5,308,"Wow, what a place.  Food was fantastic.  Views are ridiculous.
But what set my visit apart was a specific manager working that night.
The beginning of my experience at the Chef's Table was less than stellar, but then Paris got involved.  ",+1 212-230-5788,https://www.tripadvisor.com/Restaurant_Review-g60763-d14416742-Reviews-Manhatta-New_York_City_New_York.html,https://www.manhattarestaurant.com/menus/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/4f/51/7f/east-facing-view.jpg?w=900&h=500&s=1
Ora Di Pasta,1 W 59 Th Street,"New York City, NY 10019"," Italian, Mediterranean, Vegetarian Friendly",4.5,235,Decent pasta in a good area of NYC. Very cool restaurant area in the food hall of the Home Alone Plaza Hotel!,+1 646-755-3013,https://www.tripadvisor.com/Restaurant_Review-g60763-d8144717-Reviews-Ora_Di_Pasta-New_York_City_New_York.html,http://demo.wpcharming.com/chicago/#menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/94/00/49/ora-di-pasta.jpg?w=1200&h=-1&s=1
